date,fuel_type,pump_price,duty_rate,vat_rate
2004-08-02,diesel,81.79,47.1,17.5
2004-08-02,petrol,80.86,47.1,17.5
2004-08-09,diesel,82.14,47.1,17.5
2004-08-09,petrol,81.18,47.1,17.5
2004-08-16,diesel,82.33,47.1,17.5
2004-08-16,petrol,81.25,47.1,17.5
2004-08-23,diesel,82.82,47.1,17.5
2004-08-23,petrol,81.51,47.1,17.5
2004-08-31,diesel,82.89,47.1,17.5
2004-08-31,petrol,81.53,47.1,17.5
2004-09-06,diesel,82.92,47.1,17.5
2004-09-06,petrol,81.37,47.1,17.5
2004-09-13,diesel,82.91,47.1,17.5
2004-09-13,petrol,81.31,47.1,17.5
2004-09-20,diesel,83.03,47.1,17.5
2004-09-20,petrol,81.28,47.1,17.5
2004-09-27,diesel,83.46,47.1,17.5
2004-09-27,petrol,81.63,47.1,17.5
2004-10-04,diesel,83.84,47.1,17.5
2004-10-04,petrol,82.05,47.1,17.5
2004-10-11,diesel,85.01,47.1,17.5
2004-10-11,petrol,83.11,47.1,17.5
2004-10-18,diesel,85.34,47.1,17.5
2004-10-18,petrol,83.35,47.1,17.5
2004-10-25,diesel,86.03,47.1,17.5
2004-10-25,petrol,83.94,47.1,17.5
2004-11-01,diesel,86.42,47.1,17.5
2004-11-01,petrol,84.27,47.1,17.5
2004-11-08,diesel,86.54,47.1,17.5
2004-11-08,petrol,84.34,47.1,17.5
2004-11-15,diesel,86.42,47.1,17.5
2004-11-15,petrol,84.26,47.1,17.5
2004-11-22,diesel,85.17,47.1,17.5
2004-11-22,petrol,81.46,47.1,17.5
2004-11-29,diesel,86.36,47.1,17.5
2004-11-29,petrol,84.17,47.1,17.5
2004-12-06,diesel,86.4,47.1,17.5
2004-12-06,petrol,84.06,47.1,17.5
2004-12-13,diesel,85.98,47.1,17.5
2004-12-13,petrol,82.73,47.1,17.5
2004-12-20,diesel,85.17,47.1,17.5
2004-12-20,petrol,81.46,47.1,17.5
2004-12-27,diesel,85.14,47.1,17.5
2004-12-27,petrol,81.2,47.1,17.5
2005-01-03,diesel,85.12,47.1,17.5
2005-01-03,petrol,81.17,47.1,17.5
2005-01-10,diesel,84.87,47.1,17.5
2005-01-10,petrol,79.84,47.1,17.5
2005-01-17,diesel,83.94,47.1,17.5
2005-01-17,petrol,78.93,47.1,17.5
2005-01-24,diesel,83.87,47.1,17.5
2005-01-24,petrol,78.93,47.1,17.5
2005-01-31,diesel,84.23,47.1,17.5
2005-01-31,petrol,79.54,47.1,17.5
2005-02-07,diesel,84.27,47.1,17.5
2005-02-07,petrol,79.84,47.1,17.5
2005-02-14,diesel,84.32,47.1,17.5
2005-02-14,petrol,80.03,47.1,17.5
2005-02-21,diesel,84.36,47.1,17.5
2005-02-21,petrol,80.15,47.1,17.5
2005-02-28,diesel,84.65,47.1,17.5
2005-02-28,petrol,80.45,47.1,17.5
2005-03-07,diesel,85.64,47.1,17.5
2005-03-07,petrol,81.16,47.1,17.5
2005-03-14,diesel,86.11,47.1,17.5
2005-03-14,petrol,81.64,47.1,17.5
2005-03-21,diesel,87.06,47.1,17.5
2005-03-21,petrol,82.7,47.1,17.5
2005-03-28,diesel,87.68,47.1,17.5
2005-03-28,petrol,83.4,47.1,17.5
2005-04-04,diesel,88.3,47.1,17.5
2005-04-04,petrol,83.91,47.1,17.5
2005-04-11,diesel,89.82,47.1,17.5
2005-04-11,petrol,85.61,47.1,17.5
2005-04-18,diesel,89.8,47.1,17.5
2005-04-18,petrol,85.63,47.1,17.5
2005-04-25,diesel,89.62,47.1,17.5
2005-04-25,petrol,85.51,47.1,17.5
2005-05-02,diesel,89.3,47.1,17.5
2005-05-02,petrol,85.44,47.1,17.5
2005-05-09,diesel,89.46,47.1,17.5
2005-05-09,petrol,85.36,47.1,17.5
2005-05-16,diesel,89.4,47.1,17.5
2005-05-16,petrol,85.27,47.1,17.5
2005-05-23,diesel,89.0,47.1,17.5
2005-05-23,petrol,84.77,47.1,17.5
2005-05-30,diesel,88.39,47.1,17.5
2005-05-30,petrol,84.18,47.1,17.5
2005-06-06,diesel,88.23,47.1,17.5
2005-06-06,petrol,84.01,47.1,17.5
2005-06-13,diesel,88.96,47.1,17.5
2005-06-13,petrol,84.99,47.1,17.5
2005-06-20,diesel,89.54,47.1,17.5
2005-06-20,petrol,85.52,47.1,17.5
2005-06-27,diesel,90.27,47.1,17.5
2005-06-27,petrol,86.73,47.1,17.5
2005-07-04,diesel,91.0,47.1,17.5
2005-07-04,petrol,87.49,47.1,17.5
2005-07-11,diesel,91.89,47.1,17.5
2005-07-11,petrol,87.73,47.1,17.5
2005-07-18,diesel,92.67,47.1,17.5
2005-07-18,petrol,88.55,47.1,17.5
2005-07-25,diesel,93.03,47.1,17.5
2005-07-25,petrol,89.0,47.1,17.5
2005-08-01,diesel,93.26,47.1,17.5
2005-08-01,petrol,89.25,47.1,17.5
2005-08-08,diesel,93.63,47.1,17.5
2005-08-08,petrol,89.67,47.1,17.5
2005-08-15,diesel,94.5,47.1,17.5
2005-08-15,petrol,90.56,47.1,17.5
2005-08-22,diesel,94.68,47.1,17.5
2005-08-22,petrol,90.77,47.1,17.5
2005-08-29,diesel,95.33,47.1,17.5
2005-08-29,petrol,91.42,47.1,17.5
2005-09-05,diesel,97.19,47.1,17.5
2005-09-05,petrol,94.37,47.1,17.5
2005-09-12,diesel,97.89,47.1,17.5
2005-09-12,petrol,95.07,47.1,17.5
2005-09-19,diesel,97.32,47.1,17.5
2005-09-19,petrol,94.41,47.1,17.5
2005-09-26,diesel,96.27,47.1,17.5
2005-09-26,petrol,93.33,47.1,17.5
2005-10-03,diesel,96.61,47.1,17.5
2005-10-03,petrol,93.51,47.1,17.5
2005-10-10,diesel,97.05,47.1,17.5
2005-10-10,petrol,94.25,47.1,17.5
2005-10-17,diesel,97.0,47.1,17.5
2005-10-17,petrol,94.14,47.1,17.5
2005-10-24,diesel,96.8,47.1,17.5
2005-10-24,petrol,93.47,47.1,17.5
2005-10-31,diesel,96.57,47.1,17.5
2005-10-31,petrol,92.79,47.1,17.5
2005-11-07,diesel,96.59,47.1,17.5
2005-11-07,petrol,92.47,47.1,17.5
2005-11-14,diesel,94.92,47.1,17.5
2005-11-14,petrol,90.53,47.1,17.5
2005-11-21,diesel,93.22,47.1,17.5
2005-11-21,petrol,88.61,47.1,17.5
2005-11-28,diesel,91.8,47.1,17.5
2005-11-28,petrol,87.35,47.1,17.5
2005-12-05,diesel,91.8,47.1,17.5
2005-12-05,petrol,87.35,47.1,17.5
2005-12-12,diesel,91.48,47.1,17.5
2005-12-12,petrol,87.2,47.1,17.5
2005-12-19,diesel,91.83,47.1,17.5
2005-12-19,petrol,87.56,47.1,17.5
2005-12-26,diesel,92.12,47.1,17.5
2005-12-26,petrol,87.88,47.1,17.5
2006-01-02,diesel,92.27,47.1,17.5
2006-01-02,petrol,88.03,47.1,17.5
2006-01-09,diesel,92.94,47.1,17.5
2006-01-09,petrol,88.56,47.1,17.5
2006-01-16,diesel,93.19,47.1,17.5
2006-01-16,petrol,89.01,47.1,17.5
2006-01-23,diesel,93.62,47.1,17.5
2006-01-23,petrol,89.55,47.1,17.5
2006-01-30,diesel,93.93,47.1,17.5
2006-01-30,petrol,89.88,47.1,17.5
2006-02-06,diesel,93.85,47.1,17.5
2006-02-06,petrol,89.73,47.1,17.5
2006-02-13,diesel,93.77,47.1,17.5
2006-02-13,petrol,89.65,47.1,17.5
2006-02-20,diesel,93.75,47.1,17.5
2006-02-20,petrol,89.6,47.1,17.5
2006-02-27,diesel,93.69,47.1,17.5
2006-02-27,petrol,89.51,47.1,17.5
2006-03-06,diesel,93.63,47.1,17.5
2006-03-06,petrol,89.37,47.1,17.5
2006-03-13,diesel,93.85,47.1,17.5
2006-03-13,petrol,89.55,47.1,17.5
