model,MAE,RMSE,R2
RandomForest,0.9747089515899368,1.3617663120627852,0.9943857849793446
DecisionTree,1.4467874119481123,2.0853963053108053,0.9868337811741084
LinearRegression,7.736674507824798,9.624240287462463,0.7195749640156979
